epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.903,1.17258,2.55895,1.45638,0.64254,0.5384,0.54287,0.37305,1.06534,1.78587,1.41261,0.000366077,0.000366077,0.000366077
2,57.0745,1.14204,1.49851,1.36967,0.4668,0.41934,0.4477,0.26986,1.36203,2.07895,1.75401,0.00073623,0.00073623,0.00073623
3,82.2464,1.22007,1.47161,1.41572,0.5484,0.34799,0.32799,0.18946,1.52379,2.35218,1.8873,0.00110566,0.00110566,0.00110566
4,105.804,1.16872,1.44631,1.40247,0.59707,0.46381,0.4518,0.26628,1.40631,2.04671,1.68119,0.00110856,0.00110856,0.00110856
5,128.647,1.17206,1.33731,1.37975,0.60093,0.51541,0.50454,0.33216,1.25324,1.68379,1.55035,0.00110666,0.00110666,0.00110666
6,151.625,1.13297,1.27577,1.34554,0.59394,0.34088,0.38243,0.2436,1.34358,2.04893,1.69201,0.00110423,0.00110423,0.00110423
7,175.153,1.089,1.22307,1.30709,0.71539,0.56806,0.59737,0.41533,1.09996,1.43131,1.43302,0.00110126,0.00110126,0.00110126
8,198.798,1.09548,1.19683,1.33397,0.75347,0.52536,0.59118,0.40572,1.07301,1.25751,1.37741,0.00109776,0.00109776,0.00109776
9,222.247,1.04377,1.11676,1.2889,0.81031,0.5073,0.62188,0.42266,1.13248,1.29567,1.46994,0.00109372,0.00109372,0.00109372
10,246.248,1.01571,1.00349,1.26821,0.79289,0.61606,0.65258,0.44653,1.12657,1.21404,1.38088,0.00108916,0.00108916,0.00108916
11,270.574,1.00668,1.02083,1.26487,0.7813,0.60133,0.65904,0.45147,0.99098,1.28482,1.32624,0.00108408,0.00108408,0.00108408
12,294.932,0.9912,0.95791,1.26077,0.77251,0.60943,0.67382,0.4894,1.04479,1.14935,1.36838,0.00107849,0.00107849,0.00107849
13,319.314,0.96248,0.93005,1.2318,0.80671,0.56727,0.62041,0.41349,1.09458,1.37284,1.41248,0.00107238,0.00107238,0.00107238
14,343.487,0.93285,0.90447,1.21282,0.80055,0.56406,0.66675,0.48316,0.95006,1.10809,1.28937,0.00106577,0.00106577,0.00106577
15,368.1,0.92137,0.87864,1.20268,0.57302,0.64329,0.65502,0.4804,0.94062,1.02736,1.29267,0.00105866,0.00105866,0.00105866
16,392.086,0.89258,0.84565,1.18152,0.82777,0.62085,0.68042,0.50864,0.89253,1.00989,1.27399,0.00105106,0.00105106,0.00105106
17,416.123,0.85685,0.80107,1.16055,0.67339,0.66002,0.69992,0.49665,1.05638,1.07455,1.36914,0.00104298,0.00104298,0.00104298
18,439.835,0.86233,0.82425,1.17937,0.62912,0.64708,0.63299,0.43738,1.16381,1.17746,1.52122,0.00103442,0.00103442,0.00103442
19,463.429,0.86807,0.80027,1.17244,0.64319,0.67941,0.70658,0.52898,0.9516,0.98856,1.29241,0.00102539,0.00102539,0.00102539
20,486.796,0.83899,0.74658,1.14913,0.60516,0.72427,0.69001,0.53254,0.93358,1.05202,1.27593,0.0010159,0.0010159,0.0010159
21,510.309,0.81846,0.76598,1.13674,0.63345,0.71441,0.70674,0.51471,1.00357,1.04353,1.36364,0.00100597,0.00100597,0.00100597
22,534.408,0.81258,0.74276,1.13638,0.77445,0.83841,0.84373,0.61705,0.99097,0.83587,1.33209,0.000995597,0.000995597,0.000995597
23,558.6,0.80078,0.69354,1.12859,0.5939,0.6573,0.69069,0.51234,0.92346,1.22743,1.27393,0.000984795,0.000984795,0.000984795
24,582.124,0.79598,0.6999,1.12966,0.77998,0.73984,0.73607,0.54112,0.91421,0.99656,1.26976,0.000973575,0.000973575,0.000973575
25,606.911,0.79581,0.70614,1.13684,0.83455,0.61187,0.7617,0.56232,0.92999,1.02575,1.32601,0.000961948,0.000961948,0.000961948
26,631.872,0.76283,0.66113,1.11424,0.67239,0.70889,0.71966,0.54414,0.9343,1.02253,1.30457,0.000949925,0.000949925,0.000949925
27,655.664,0.76222,0.65007,1.10264,0.69008,0.73378,0.78448,0.5743,0.93587,0.92024,1.31357,0.000937518,0.000937518,0.000937518
28,678.672,0.76801,0.63558,1.10203,0.70184,0.69089,0.72778,0.53644,0.93704,1.00535,1.26674,0.00092474,0.00092474,0.00092474
29,701.694,0.76788,0.63479,1.1064,0.68364,0.65205,0.70577,0.51756,1.01138,1.10958,1.32095,0.000911603,0.000911603,0.000911603
30,726.507,0.73445,0.6002,1.09225,0.71232,0.74915,0.76937,0.5608,0.97227,1.00528,1.33828,0.00089812,0.00089812,0.00089812
31,750.518,0.72164,0.60691,1.0831,0.66537,0.69264,0.73567,0.5521,0.95992,1.02552,1.29476,0.000884305,0.000884305,0.000884305
